0	-0,316010436
0,02	-0,222017642
0,04	-0,313060999
0,06	-0,299073006
0,08	-0,355514499
0,1	-0,350589437
0,12	-0,280177356
0,14	-0,275559554
0,16	-0,284316748
0,18	-0,210201775
0,2	-0,327109023
0,22	-0,194679475
0,24	-0,251012715
0,26	-0,273457322
0,28	-0,136616709
0,3	-0,164854446
0,32	-0,27841264
0,34	-0,276880574
0,36	-0,287560518
0,38	-0,139371082
0,4	-0,154200904
0,42	-0,195910941
0,44	-0,053865484
0,46	-0,206344851
0,48	-0,050342372
0,5	-0,173045502
0,52	-0,087734442
0,54	-0,019950038
0,56	-0,112994061
0,58	-0,102293801
0,6	-0,089571362
0,62	0,064762745
0,64	-0,022959429
0,66	0,022968848
0,68	0,128409763
0,7	0,015683307
0,72	0,131814992
0,74	0,198112404
0,76	0,183888088
0,78	0,144722323
0,8	0,247790226
0,82	0,308585712
0,84	0,326587334
0,86	0,338703565
0,88	0,252307369
0,9	0,412520156
0,92	0,432839482
0,94	0,350759513
0,96	0,427493437
0,98	0,586216957
1	0,475561477
