53	173	75	371389	0
20	188	82	1262079	1
52	168	63	665380	0
31	169	60	1339100	1
46	184	76	101393	0
66	185	56	1117662	1
65	184	67	1415608	1
68	186	55	1203602	1
80	196	66	534911	0
73	162	74	440307	0
63	177	54	935921	0
31	179	85	1122528	1
78	184	58	498223	0
50	178	50	936792	1
63	182	88	387770	0
24	167	75	1441225	1
78	192	89	250859	0
71	197	62	889253	0
54	170	90	313018	0
52	180	52	488386	0
21	195	81	1140814	1
55	170	77	1203551	0
73	194	86	453750	1
29	175	81	118953	0
70	198	62	267604	0
73	173	67	915150	0
33	191	70	185292	1
24	168	82	1369414	1
78	192	54	865291	0
64	172	80	179489	0
79	172	72	765886	0
66	165	62	369878	0
15	177	56	265319	0
40	169	67	908605	1
48	198	86	710999	1
36	200	70	1485334	1
30	194	73	1455942	1
22	164	64	1377138	1
75	175	55	327915	0
50	186	77	867394	1
51	174	60	902906	0
39	180	66	1247777	1
26	180	70	141596	0
28	176	65	576965	1
21	170	71	556169	1
24	173	53	208777	0
18	169	60	404008	0
76	160	76	1201616	0
29	192	90	1105876	1
56	163	52	868899	0
36	199	57	853819	1
76	191	52	758630	0
33	192	64	526784	1
76	190	63	984234	0
17	196	67	478965	0
20	176	72	1036296	1
74	160	68	244576	0
49	194	83	1296602	1
22	161	74	1164355	1
75	171	73	1406667	0
63	193	80	1490475	1
28	188	58	275075	1
64	197	80	212556	0
37	175	59	880047	1
59	177	58	284327	0
62	198	63	497102	0
48	196	74	555837	1
66	177	67	958219	0
58	180	73	981155	0
53	169	52	364242	0
64	173	81	1232845	0
29	165	75	762694	0
70	177	61	1231747	1
16	172	83	768086	0
56	184	75	520903	0
50	192	65	170210	1
23	165	90	432511	0
26	168	50	1407592	1
20	177	71	645787	1
34	190	65	966517	1
80	187	84	974019	0
77	190	79	1107471	1
34	193	83	399122	1
51	160	57	1072261	0
63	178	77	1049437	1
51	193	84	335305	0
17	161	60	615188	0
72	164	70	603000	0
20	196	79	1392193	1
30	197	82	633198	1
19	164	51	1327249	0
35	166	62	1461662	1
69	180	66	369288	0
65	190	81	338638	0
33	191	82	1087593	1
17	194	79	1443065	1
22	194	79	1284143	1
31	174	88	893643	1
52	187	53	106462	0
31	161	58	1366714	1
51	161	89	967200	0
15	167	55	808883	0
65	166	64	764977	0
43	161	72	1384463	1
65	200	78	871229	1
62	178	54	584845	0
76	171	68	485900	0
80	195	61	1247070	1
42	179	83	127244	0
48	194	57	1369825	1
59	187	81	806193	0
55	197	52	1194322	1
30	187	90	297039	1
59	171	66	890684	0
69	169	81	190072	0
53	197	87	228059	0
78	174	82	950763	0
29	193	74	214061	1
31	188	68	149829	1
54	172	58	1012424	0
24	181	67	334428	1
63	163	61	740250	0
69	175	89	567790	0
21	163	81	387149	0
68	181	76	141646	0
76	165	58	726792	0
67	195	81	910743	1
47	165	72	145169	0
44	188	80	1159256	1
37	183	90	219239	1
44	193	90	1388291	1
24	173	61	172926	0
59	176	68	877661	0
28	187	77	587874	1
56	171	82	1136173	0
31	195	82	115309	1
37	174	57	512098	1
20	176	68	524930	1
63	178	75	994444	0
32	170	84	787583	0
34	196	57	193223	1
57	200	57	950513	0
43	199	87	1345323	1
43	162	90	406258	0
40	197	61	1235300	1
18	186	85	163641	0
48	191	82	799405	1
62	194	57	588435	0
63	188	90	224739	0
30	163	53	343195	0
23	166	77	1337335	1
75	199	81	820315	1
64	174	65	1079601	1
66	180	88	150711	0
39	199	60	1213930	1
73	161	50	1118496	0
46	176	63	1401304	1
51	194	86	1091803	1
67	171	72	508493	0
78	177	81	1486734	1
37	178	53	682069	1
18	198	75	576330	0
68	171	55	863135	0
80	174	56	393960	0
51	177	63	1497779	1
21	188	87	532847	1
38	164	51	1281728	1
54	189	74	1350208	1
17	190	72	1024915	1
50	189	90	475409	1
32	184	57	595334	1
79	192	74	694100	1
62	170	57	1142978	0
62	169	78	635501	0
46	200	90	1150897	1
35	186	77	1065106	1
51	171	90	1013401	0
37	174	65	1436037	1
62	191	87	955871	1
38	185	68	174043	1
61	170	56	1416843	0
47	160	53	401376	0
45	174	83	299208	0
62	193	54	1343936	1
80	170	80	791205	0
65	161	84	1437401	0
46	185	71	1481037	1
35	183	68	726760	1
23	196	65	702306	1
48	197	60	1342794	1
72	178	67	233611	0
75	168	59	1093682	0
48	175	75	1158177	1
77	162	88	560501	0
80	164	73	1149312	0
72	177	81	1232514	1
21	198	62	1427607	1
35	161	75	195920	0
30	166	83	781544	0
72	176	54	681357	0
78	168	67	1160367	0
28	170	56	475139	1
37	185	68	181167	1
54	167	78	1044161	0
56	181	78	316042	0
45	175	84	1277625	1
28	191	52	1323973	1
63	171	69	988059	0
52	195	75	1118501	1
18	185	89	722282	0
62	169	87	1352986	0
65	197	87	851068	1
37	181	69	979588	1
50	160	79	1109262	0
75	197	84	1279492	1
28	168	65	1000735	1
71	196	86	832329	1
18	172	87	328818	0
80	180	56	1268867	1
16	185	57	1459100	0
52	169	63	885092	0
70	199	50	698484	0
54	169	63	1243650	0
74	169	84	1219130	0
69	197	53	1243159	1
48	169	76	819765	1
69	161	86	985076	0
28	191	83	1388616	1
35	197	55	197002	1
23	182	80	1499714	1
79	196	83	120973	0
67	176	90	1368667	0
57	163	74	1471851	0
62	200	58	1358280	1
75	191	67	139805	0
21	186	87	1312810	1
74	169	83	1454297	0
30	171	76	633235	1
77	181	59	1090903	1
34	180	60	1463456	1
57	168	75	873572	0
34	180	82	816159	1
69	171	78	458815	0
72	193	57	917745	0
35	179	86	868825	1
50	167	59	197158	0
39	175	82	1353225	1
62	199	78	296201	0
71	187	80	1156742	1
41	189	63	1011687	1
67	169	83	1434821	0
68	177	84	923214	0
45	198	76	1327373	1
20	191	76	214806	1
26	200	51	975762	1
41	187	87	993290	1
38	171	71	1187815	1
25	167	53	528039	1
31	174	59	165736	0
23	162	76	167830	0
35	177	77	689570	1
18	187	55	1397180	0
46	173	74	792595	1
34	194	51	337895	1
42	180	77	1310095	1
75	174	56	1193663	0
79	182	67	789974	0
17	172	51	503900	0
50	197	70	936810	1
28	198	66	835308	1
36	166	90	991733	0
74	182	63	1042800	1
52	162	68	340663	0
64	177	54	554700	0
33	199	86	1054846	1
73	180	65	147475	0
37	163	88	446957	0
43	170	73	233258	0
68	192	84	627982	1
39	173	89	636625	0
27	199	70	939050	1
50	190	84	654095	1
44	174	52	1376071	1
63	169	87	1209508	0
21	177	86	858730	1
47	168	51	417065	0
28	192	50	1111521	1
34	171	56	410006	1
59	161	52	197515	0
80	187	67	1073028	1
47	193	86	212205	1
77	189	78	954367	1
72	188	87	1075542	1
29	172	89	1241609	1
56	185	85	1070655	1
53	180	64	594869	0
53	169	89	347696	0
56	177	75	311455	0
23	192	56	381341	1
73	186	51	1199088	1
61	186	77	279061	0
50	163	76	1491204	1
69	165	57	511341	0
52	160	50	130048	0
25	182	79	588661	1
66	191	60	358395	0
79	183	50	748055	0
54	174	65	998670	0
42	165	83	767201	0
65	193	61	1061423	1
79	199	74	844024	1
46	192	75	740450	1
67	169	86	308659	0
51	199	60	1415053	1
79	166	67	334113	0
74	194	55	206819	0
22	189	72	473379	1
25	172	60	725102	1
24	183	50	333343	1
29	198	50	1145794	1
19	195	59	1369584	0
39	190	77	1348685	1
32	174	85	1197097	1
76	182	60	740384	0
57	160	78	443553	0
21	200	59	605723	1
68	160	75	1453432	0
69	180	67	1296525	1
25	195	83	563529	1
60	181	83	1387177	1
40	187	70	1490028	1
24	188	79	100595	0
27	197	67	1115630	1
40	197	89	650115	1
52	179	74	1155361	1
42	191	83	560422	1
67	191	73	761651	1
33	167	54	290843	0
33	163	83	286711	0
36	190	73	820305	1
73	182	90	232647	0
40	190	60	1176543	1
72	192	56	1152710	1
29	166	76	1290564	1
64	181	71	573568	0
72	160	74	638441	0
80	194	53	405819	0
36	191	81	1240840	1
53	177	60	652670	0
15	170	70	414015	0
17	171	51	533184	0
36	166	50	102631	0
28	183	63	1163926	1
33	194	82	689343	1
18	162	85	1450673	0
73	162	50	357401	0
50	198	81	1112489	1
67	184	73	880511	0
61	170	51	1056794	0
78	179	65	1468997	1
18	190	66	587868	0
44	162	77	1384334	1
17	187	55	991484	0
74	177	89	1332806	0
63	165	64	148590	0
50	169	67	1171689	1
60	178	85	475712	0
51	195	75	1225677	1
71	182	63	523831	0
41	197	67	724124	1
18	198	52	1459018	0
71	189	88	1330580	1
80	176	66	636519	0
70	183	85	1236492	1
33	172	81	573278	1
50	184	54	1137938	1
26	192	63	1117705	1
59	192	82	1043087	1
47	184	56	479712	1
62	172	88	1154623	0
52	191	57	327596	0
45	179	58	1453284	1
74	177	81	566797	0
52	174	60	883363	0
42	168	86	836031	0
27	166	72	685083	0
23	191	51	375436	1
34	190	86	262409	1
43	169	54	1324683	1
37	179	85	256002	1
31	166	80	1470756	1
47	192	87	165003	1
73	187	90	240861	0
39	171	78	1414711	1
46	182	52	618002	1
65	190	72	414932	0
29	160	65	657783	0
44	165	86	549372	0
38	198	79	1459912	1
63	168	90	890852	0
